,symbol,open_time,open,high,low,close,volume_coin,close_time,volume,num_of_trades,buy_volume_coin,buy_volume,ignore,date
128,BTCUSDT,1606356480000,18717.99,18722.6,18699.51,18706.93,380.200,1606356539999,7111865.01217,1606,104.603,1957091.32825,0,1970-01-01 00:00:01.606356480
129,BTCUSDT,1606356540000,18706.92,18724.33,18695.56,18710.01,186.802,1606356599999,3495062.0922,1128,133.042,2489328.17028,0,1970-01-01 00:00:01.606356540
130,BTCUSDT,1606356600000,18710.0,18732.21,18700.0,18700.01,311.335,1606356659999,5827239.9631,1300,148.340,2776420.15325,0,1970-01-01 00:00:01.606356600
131,BTCUSDT,1606356660000,18700.0,18706.58,18675.81,18684.0,270.753,1606356719999,5059550.3627,1376,44.561,832705.01371,0,1970-01-01 00:00:01.606356660
132,BTCUSDT,1606356720000,18683.99,18690.0,18675.05,18689.99,303.779,1606356779999,5675006.6218,1433,144.511,2699765.57774,0,1970-01-01 00:00:01.606356720
133,BTCUSDT,1606356780000,18690.0,18716.88,18684.36,18716.88,224.472,1606356839999,4197451.79102,1103,138.642,2592585.54903,0,1970-01-01 00:00:01.606356780
134,BTCUSDT,1606356840000,18716.88,18731.37,18708.34,18726.31,215.242,1606356899999,4030102.61465,1058,116.483,2180970.61816,0,1970-01-01 00:00:01.606356840
135,BTCUSDT,1606356900000,18726.32,18731.38,18679.05,18687.2,270.195,1606356959999,5053402.37518,1211,84.264,1576177.31407,0,1970-01-01 00:00:01.606356900
136,BTCUSDT,1606356960000,18686.73,18690.0,18651.0,18656.92,478.287,1606357019999,8927188.56832,1915,147.394,2751203.08228,0,1970-01-01 00:00:01.606356960
137,BTCUSDT,1606357020000,18656.67,18688.34,18653.84,18688.34,242.419,1606357079999,4525460.38554,1149,150.716,2813282.25073,0,1970-01-01 00:00:01.606357020
138,BTCUSDT,1606357080000,18685.25,18695.22,18680.0,18690.7,152.240,1606357139999,2845191.01912,919,67.683,1264927.38451,0,1970-01-01 00:00:01.606357080
139,BTCUSDT,1606357140000,18690.7,18700.0,18690.7,18699.74,124.024,1606357199999,2318864.77394,567,84.616,1582042.91281,0,1970-01-01 00:00:01.606357140
140,BTCUSDT,1606357200000,18699.73,18719.31,18699.73,18706.02,166.911,1606357259999,3122528.01156,925,102.387,1915366.80235,0,1970-01-01 00:00:01.606357200
141,BTCUSDT,1606357260000,18706.02,18708.83,18670.05,18687.36,211.776,1606357319999,3958172.94869,791,47.874,894470.23883,0,1970-01-01 00:00:01.606357260
142,BTCUSDT,1606357320000,18687.36,18687.36,18660.65,18663.29,186.078,1606357379999,3474131.82917,1351,97.646,1822972.26724,0,1970-01-01 00:00:01.606357320
143,BTCUSDT,1606357380000,18662.78,18703.73,18662.78,18680.68,207.889,1606357439999,3884625.10428,1269,93.247,1742259.88779,0,1970-01-01 00:00:01.606357380
144,BTCUSDT,1606357440000,18680.68,18682.77,18653.84,18657.48,225.672,1606357499999,4211614.53537,1550,68.266,1273988.37413,0,1970-01-01 00:00:01.606357440
145,BTCUSDT,1606357500000,18657.48,18657.48,18571.07,18632.82,1792.003,1606357559999,33358888.56622,7467,481.288,8959994.22993,0,1970-01-01 00:00:01.606357500
146,BTCUSDT,1606357560000,18632.81,18634.78,18561.73,18576.23,567.805,1606357619999,10555986.0383,2924,212.439,3950560.10145,0,1970-01-01 00:00:01.606357560
147,BTCUSDT,1606357620000,18581.39,18617.22,18555.55,18566.45,604.298,1606357679999,11230069.88179,2974,302.718,5627172.60349,0,1970-01-01 00:00:01.606357620
148,BTCUSDT,1606357680000,18565.8,18575.24,18546.0,18547.0,508.887,1606357739999,9444517.20604,2213,193.231,3586649.75387,0,1970-01-01 00:00:01.606357680
149,BTCUSDT,1606357740000,18546.0,18581.65,18500.0,18565.6,2228.682,1606357799999,41295758.00607,6745,876.490,16246613.97177,0,1970-01-01 00:00:01.606357740
150,BTCUSDT,1606357800000,18565.61,18565.61,18454.3,18466.22,2337.855,1606357859999,43255420.137,6747,552.652,10230423.77033,0,1970-01-01 00:00:01.606357800
151,BTCUSDT,1606357860000,18466.22,18477.82,18427.0,18468.45,1789.039,1606357919999,33015652.64699,6991,953.635,17601984.74508,0,1970-01-01 00:00:01.606357860
152,BTCUSDT,1606357920000,18467.29,18564.93,18466.9,18562.0,1401.326,1606357979999,25952833.89469,4519,1075.039,19910030.30639,0,1970-01-01 00:00:01.606357920
153,BTCUSDT,1606357980000,18562.0,18600.0,18561.32,18597.99,915.837,1606358039999,17013146.10764,3613,445.467,8276181.04117,0,1970-01-01 00:00:01.606357980
154,BTCUSDT,1606358040000,18598.7,18624.92,18560.95,18602.07,863.555,1606358099999,16059857.32887,3050,424.308,7892374.74890,0,1970-01-01 00:00:01.606358040
155,BTCUSDT,1606358100000,18602.07,18609.99,18573.32,18602.12,650.319,1606358159999,12089767.06706,1828,183.902,3418793.32012,0,1970-01-01 00:00:01.606358100
156,BTCUSDT,1606358160000,18602.32,18638.23,18596.97,18634.31,498.260,1606358219999,9275762.25175,1786,271.275,5050396.70597,0,1970-01-01 00:00:01.606358160
157,BTCUSDT,1606358220000,18634.3,18642.42,18611.45,18611.45,732.201,1606358279999,13641456.56898,1717,224.634,4185245.31879,0,1970-01-01 00:00:01.606358220
158,BTCUSDT,1606358280000,18611.45,18619.88,18580.88,18605.22,740.367,1606358339999,13770188.22959,2272,197.203,3667208.09722,0,1970-01-01 00:00:01.606358280
159,BTCUSDT,1606358340000,18604.72,18604.72,18584.5,18589.5,150.065,1606358399999,2790264.94038,856,50.405,937254.96330,0,1970-01-01 00:00:01.606358340
